Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,PlayerWon,11.65,583,36.00,78.4,3.09
2,PlayerWon,45.64,2282,142.00,66.3,2.53
3,PlayerWon,31.74,1587,134.00,49.9,2.84
4,PlayerWon,25.62,1281,122.00,82.3,2.71
5,PlayerWon,24.36,1218,98.00,37.8,3.26
6,EnemyWon,40.08,2004,160.00,55.8,2.52
7,PlayerWon,36.88,1844,136.00,66.4,2.89
8,PlayerWon,20.44,1022,100.00,81.2,3.40
9,PlayerWon,27.22,1361,70.00,48.8,2.32
10,PlayerWon,34.72,1736,134.00,59.5,3.42
11,PlayerWon,16.74,837,84.00,52.6,2.07
12,EnemyWon,45.19,2259,160.00,82.8,2.85
13,PlayerWon,39.21,1961,66.00,64.0,3.31
14,PlayerWon,38.44,1922,156.00,77.4,2.95
15,PlayerWon,24.34,1217,68.00,57.3,3.35
16,PlayerWon,23.30,1165,80.00,80.8,2.37
17,PlayerWon,21.90,1095,46.00,27.7,3.72
18,PlayerWon,17.96,898,94.00,42.8,2.67
19,EnemyWon,48.74,2437,154.00,99.8,3.29
20,PlayerWon,21.46,1073,74.00,38.3,2.76
21,PlayerWon,15.92,796,42.00,44.7,3.37
22,PlayerWon,22.54,1127,58.00,44.0,2.96
23,PlayerWon,29.26,1463,132.00,65.4,2.49
24,PlayerWon,19.08,954,56.00,57.1,3.25
25,PlayerWon,26.24,1312,98.00,51.2,2.55
26,PlayerWon,14.60,730,58.00,29.4,2.66
27,PlayerWon,35.20,1760,82.00,64.8,3.15
28,PlayerWon,21.94,1097,76.00,47.1,2.63
29,PlayerWon,29.76,1488,134.00,47.4,2.54
30,EnemyWon,51.56,2578,156.00,50.2,2.87
31,PlayerWon,48.82,2441,126.00,53.9,2.86
32,PlayerWon,16.74,837,90.00,67.1,3.39
33,PlayerWon,31.04,1552,118.00,54.4,3.07
34,PlayerWon,24.74,1237,102.00,53.0,2.87
35,PlayerWon,21.75,1087,64.00,54.4,3.51
36,PlayerWon,22.26,1113,88.00,61.0,3.08
37,EnemyWon,41.37,2068,164.00,43.0,2.70
38,PlayerWon,24.38,1220,72.00,46.2,3.67
39,PlayerWon,23.75,1187,124.00,52.2,2.67
40,PlayerWon,27.72,1386,130.00,61.0,2.70
41,PlayerWon,41.62,2081,116.00,72.9,3.03
42,PlayerWon,23.80,1190,104.00,80.4,2.71
43,PlayerWon,21.32,1066,80.00,53.6,2.77
44,PlayerWon,41.80,2090,152.00,55.0,3.33
45,PlayerWon,27.74,1387,74.00,56.8,3.16
46,PlayerWon,28.28,1414,82.00,59.9,2.64
47,EnemyWon,45.78,2289,144.00,54.4,2.49
48,PlayerWon,26.85,1343,114.00,78.7,3.28
49,PlayerWon,23.04,1152,56.00,53.6,2.86
50,PlayerWon,32.36,1618,76.00,14.1,3.13
51,PlayerWon,25.62,1281,110.00,48.6,2.61
52,PlayerWon,20.10,1005,34.00,60.2,2.91
53,EnemyWon,47.76,2388,152.00,42.2,3.05
54,PlayerWon,20.86,1043,110.00,82.9,2.67
55,PlayerWon,25.98,1299,80.00,55.3,2.91
56,PlayerWon,29.10,1455,108.00,56.0,2.50
57,PlayerWon,14.08,704,68.00,81.5,2.10
58,PlayerWon,15.27,763,66.00,55.4,3.29
59,PlayerWon,26.66,1333,86.00,42.8,2.85
60,PlayerWon,24.74,1237,70.00,75.3,2.19
61,PlayerWon,20.72,1036,104.00,63.3,2.48
62,PlayerWon,23.42,1171,82.00,47.0,2.74
63,PlayerWon,23.70,1185,76.00,51.4,2.79
64,PlayerWon,24.02,1201,62.00,35.2,2.48
65,PlayerWon,18.30,915,88.00,75.8,2.34
66,PlayerWon,20.38,1019,68.00,47.0,3.06
67,PlayerWon,17.60,880,30.00,35.9,3.55
68,PlayerWon,11.26,563,42.00,40.5,2.82
69,PlayerWon,38.16,1908,122.00,60.5,2.55
70,PlayerWon,19.63,982,50.00,38.0,3.10
71,PlayerWon,21.46,1073,62.00,50.2,3.03
72,EnemyWon,38.74,1937,160.00,51.8,3.23
