Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,PlayerWon,20.37,1019,126.00,139.8,2.44
2,EnemyWon,32.41,1620,156.00,122.7,2.26
3,PlayerWon,8.29,415,46.00,83.2,2.41
4,EnemyWon,18.96,948,116.00,139.9,2.19
5,PlayerWon,5.34,267,38.00,111.2,1.90
6,PlayerWon,8.20,410,46.00,104.0,2.74
7,EnemyWon,29.77,1488,186.00,133.8,2.25
8,PlayerWon,6.81,341,36.00,49.7,3.93
9,PlayerWon,2.20,110,12.00,90.3,1.90
10,PlayerWon,16.78,839,80.00,115.8,2.40
11,PlayerWon,19.66,983,116.00,130.4,2.72
12,PlayerWon,7.04,352,32.00,115.3,2.15
13,EnemyWon,4.94,247,12.00,136.8,2.98
14,EnemyWon,25.01,1250,174.00,146.2,2.14
15,PlayerWon,17.16,858,98.00,102.1,3.52
16,EnemyWon,33.07,1653,184.00,120.2,2.44
17,PlayerWon,3.83,192,32.00,90.4,2.51
18,PlayerWon,16.18,809,120.00,148.2,2.36
19,PlayerWon,8.00,400,38.00,65.8,2.56
20,EnemyWon,28.77,1438,168.00,135.5,2.73
21,PlayerWon,11.08,554,58.00,141.4,2.79
22,PlayerWon,12.18,609,48.00,53.4,2.57
23,PlayerWon,4.28,214,28.00,171.0,2.62
24,EnemyWon,25.86,1293,170.00,147.9,2.57
25,PlayerWon,1.84,92,10.00,59.5,2.77
26,PlayerWon,19.98,999,90.00,133.4,2.39
27,PlayerWon,0.76,38,8.00,140.5,2.10
28,PlayerWon,20.18,1009,88.00,77.9,2.56
29,PlayerWon,9.00,450,52.00,112.0,3.17
30,EnemyWon,11.98,599,58.00,95.9,2.01
31,PlayerWon,5.40,270,30.00,111.6,4.33
32,PlayerWon,26.46,1323,122.00,122.4,2.45
33,PlayerWon,11.72,586,74.00,113.1,2.75
34,EnemyWon,2.94,147,8.00,163.9,3.38
35,PlayerWon,12.10,605,80.00,135.9,2.51
36,PlayerWon,17.76,888,90.00,120.2,2.84
37,PlayerWon,6.14,307,32.00,141.4,1.76
38,EnemyWon,5.89,294,46.00,130.9,2.48
39,PlayerWon,16.47,824,106.00,124.6,2.26
40,EnemyWon,30.07,1503,176.00,137.2,2.36
41,EnemyWon,25.53,1277,176.00,91.2,2.36
42,PlayerWon,3.63,182,12.00,19.1,3.24
43,PlayerWon,0.76,38,14.00,138.8,2.52
44,EnemyWon,26.13,1306,174.00,132.1,2.36
45,PlayerWon,1.52,76,18.00,73.5,2.76
46,PlayerWon,22.50,1125,144.00,106.3,2.51
47,PlayerWon,8.42,421,66.00,149.5,1.71
48,EnemyWon,1.64,82,0.00,181.6,3.15
49,PlayerWon,15.22,761,104.00,129.5,2.00
50,PlayerWon,20.38,1019,84.00,126.7,2.92
51,EnemyWon,13.19,659,78.00,136.9,2.21
52,PlayerWon,16.54,828,78.00,125.4,2.23
