Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,EnemyWon,22.64,1133,160.00,139.1,2.26
2,PlayerWon,22.30,1115,126.00,93.2,3.19
3,PlayerWon,0.98,49,0.00,116.6,6.44
4,EnemyWon,29.26,1462,176.00,134.1,2.39
5,PlayerWon,16.94,848,78.00,147.7,3.33
6,EnemyWon,21.45,1072,84.00,147.0,3.96
7,PlayerWon,9.83,492,32.00,155.2,4.16
8,PlayerWon,20.64,1032,100.00,168.5,2.76
9,EnemyWon,35.19,1759,192.00,115.1,2.01
10,PlayerWon,2.05,103,4.00,76.5,5.28
11,PlayerWon,2.78,139,8.00,100.1,5.80
12,PlayerWon,24.10,1205,64.00,151.0,2.93
13,PlayerWon,32.60,1630,166.00,141.0,3.12
14,PlayerWon,4.28,214,14.00,132.0,4.62
15,EnemyWon,2.59,129,8.00,82.4,3.26
16,PlayerWon,13.83,692,88.00,122.1,1.99
17,PlayerWon,26.28,1314,140.00,152.0,2.26
18,EnemyWon,8.73,436,40.00,122.9,1.67
19,PlayerWon,6.03,302,28.00,95.5,2.59
20,PlayerWon,23.62,1181,128.00,105.0,2.52
21,PlayerWon,26.32,1316,156.00,130.8,2.61
22,PlayerWon,9.56,478,34.00,116.9,2.37
23,EnemyWon,2.28,113,10.00,151.2,1.83
24,PlayerWon,9.74,488,36.00,55.6,2.61
25,EnemyWon,26.09,1304,184.00,161.4,2.25
26,EnemyWon,37.57,1878,194.00,130.1,3.64
27,PlayerWon,10.81,541,64.00,145.3,2.83
28,PlayerWon,4.54,227,18.00,164.8,3.44
29,PlayerWon,1.88,94,0.00,141.0,4.27
30,PlayerWon,29.90,1495,132.00,114.8,2.68
31,EnemyWon,11.33,566,44.00,144.4,3.37
32,PlayerWon,4.18,209,14.00,135.6,4.04
33,PlayerWon,22.94,1147,112.00,137.4,3.80
34,PlayerWon,22.96,1148,128.00,128.8,2.62
35,PlayerWon,11.24,562,46.00,139.8,2.16
36,PlayerWon,0.90,45,0.00,171.0,2.34
37,EnemyWon,39.11,1955,204.00,143.3,2.59
38,PlayerWon,26.10,1305,48.00,141.6,5.32
39,PlayerWon,10.90,545,24.00,140.7,4.62
40,EnemyWon,22.52,1126,106.00,158.2,3.89
41,PlayerWon,25.26,1263,88.00,117.9,3.24
42,PlayerWon,36.96,1848,168.00,103.6,2.05
43,PlayerWon,10.98,549,30.00,109.2,4.63
44,EnemyWon,1.74,87,0.00,59.6,2.24
45,PlayerWon,16.96,848,64.00,135.3,2.94
46,EnemyWon,35.10,1754,158.00,146.5,2.73
47,PlayerWon,8.14,408,12.00,156.3,6.27
48,PlayerWon,20.86,1043,98.00,120.4,4.06
49,PlayerWon,6.92,346,54.00,150.2,2.01
50,PlayerWon,26.64,1332,156.00,134.3,2.61
51,EnemyWon,4.34,216,20.00,133.6,1.80
52,PlayerWon,30.08,1505,120.00,110.4,3.86
53,PlayerWon,4.38,219,10.00,133.5,3.39
54,PlayerWon,39.46,1973,158.00,124.4,3.61
55,EnemyWon,3.10,155,14.00,153.5,2.35
56,PlayerWon,1.26,63,8.00,43.8,3.85
57,PlayerWon,38.32,1916,130.00,132.8,3.99
58,EnemyWon,35.20,1760,174.00,137.8,2.74
59,PlayerWon,1.40,70,14.00,124.1,3.04
60,PlayerWon,6.40,320,14.00,88.2,2.77
61,PlayerWon,5.68,284,26.00,144.8,3.29
62,PlayerWon,34.36,1718,186.00,115.6,2.84
63,EnemyWon,1.09,54,0.00,194.3,3.94
64,EnemyWon,29.83,1492,184.00,172.4,2.89
65,PlayerWon,2.62,131,8.00,122.1,6.70
66,PlayerWon,13.82,691,64.00,145.2,2.64
67,PlayerWon,20.92,1046,128.00,127.3,2.84
68,PlayerWon,4.68,234,26.00,83.8,3.42
69,EnemyWon,8.55,427,44.00,105.9,2.88
70,PlayerWon,13.38,669,80.00,91.7,2.24
71,PlayerWon,26.46,1323,86.00,141.7,3.47
72,PlayerWon,6.30,315,28.00,148.6,2.67
73,EnemyWon,6.28,314,44.00,162.4,2.02
74,PlayerWon,18.16,908,118.00,86.9,2.16
75,EnemyWon,29.06,1453,200.00,141.9,2.55
76,PlayerWon,5.28,264,26.00,102.1,3.10
77,EnemyWon,30.05,1502,174.00,169.9,2.16
78,PlayerWon,25.71,1286,48.00,141.2,5.13
79,PlayerWon,15.82,791,48.00,123.2,4.81
80,PlayerWon,23.88,1194,106.00,146.8,3.23
81,EnemyWon,9.64,482,64.00,162.4,2.04
82,PlayerWon,11.45,573,34.00,141.9,4.20
83,PlayerWon,22.36,1118,110.00,137.9,2.73
84,PlayerWon,28.38,1419,142.00,77.1,2.99
85,EnemyWon,5.14,257,34.00,120.6,3.61
86,PlayerWon,17.26,863,76.00,124.4,2.73
87,PlayerWon,9.28,464,16.00,124.0,5.46
88,PlayerWon,37.02,1851,162.00,117.8,3.01
89,PlayerWon,6.36,318,0.00,133.8,5.39
90,EnemyWon,0.76,38,0.00,209.0,4.68
91,PlayerWon,1.78,89,8.00,150.2,3.57
92,PlayerWon,26.08,1304,136.00,133.5,2.54
93,EnemyWon,7.86,393,46.00,161.0,1.73
94,PlayerWon,8.44,422,46.00,162.0,1.81
95,PlayerWon,23.84,1192,88.00,130.4,2.33
96,PlayerWon,17.74,887,94.00,124.0,2.65
97,PlayerWon,19.62,981,116.00,119.4,1.55
