Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,EnemyWon,30.53,1527,162.00,110.8,2.90
2,PlayerWon,2.85,143,16.00,165.1,3.44
3,PlayerWon,38.46,1923,140.00,122.1,3.54
4,EnemyWon,9.70,485,38.00,162.0,4.57
5,PlayerWon,21.40,1070,40.00,135.5,5.21
6,PlayerWon,16.38,819,30.00,132.7,4.42
7,PlayerWon,0.44,22,0.00,77.0,4.76
8,PlayerWon,17.42,871,72.00,125.4,3.20
9,EnemyWon,21.35,1067,130.00,90.3,1.93
10,PlayerWon,7.23,362,8.00,110.1,3.33
11,PlayerWon,8.66,433,36.00,128.3,3.22
12,PlayerWon,19.98,999,110.00,119.1,2.81
13,EnemyWon,11.01,550,76.00,105.1,2.43
14,PlayerWon,59.67,2984,152.00,121.7,5.09
15,PlayerWon,4.48,224,4.00,111.8,6.07
16,EnemyWon,33.62,1681,188.00,124.4,2.58
17,PlayerWon,11.92,596,36.00,176.3,3.95
18,PlayerWon,19.42,971,84.00,131.3,3.56
19,PlayerWon,8.24,412,30.00,116.6,3.73
20,PlayerWon,32.90,1645,164.00,113.8,2.62
21,EnemyWon,0.07,3,0.00,0.0,0.00
22,PlayerWon,37.77,1889,140.00,111.1,3.57
23,EnemyWon,3.69,185,12.00,59.5,3.08
24,PlayerWon,0.66,33,8.00,109.7,3.89
25,PlayerWon,38.14,1907,138.00,124.0,3.47
26,EnemyWon,10.30,515,36.00,105.4,3.02
27,PlayerWon,2.45,123,8.00,65.6,6.93
28,PlayerWon,39.35,1967,92.00,104.2,4.68
29,EnemyWon,38.72,1936,190.00,122.3,3.63
30,PlayerWon,16.84,842,36.00,123.2,4.56
31,PlayerWon,2.36,118,8.00,65.7,6.24
32,PlayerWon,25.02,1251,100.00,133.3,3.81
