RespondentID,Model,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33
P01,PPO Baseline (50M),3,3,3,3,2,2,4,3,2,3,2,2,2,1,2,2,2,3,2,2,4,2,2,1,2,2,2,2,2,2,2,3,2
P01,HCA Max (50M - RLHC),3,3,2,4,2,3,1,2,1,3,3,2,3,3,3,1,2,3,3,3,3,3,4,2,3,3,4,3,2,3,2,4,4
P02,PPO Baseline (50M),2,3,3,2,2,3,2,4,0,3,2,2,2,1,3,3,4,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2
P02,HCA Max (50M - RLHC),3,2,3,3,3,3,1,2,1,3,3,2,3,3,4,1,3,3,3,4,3,3,3,3,2,4,4,3,2,3,3,2,3
P03,PPO Baseline (50M),2,3,2,3,2,2,3,1,2,3,1,3,2,3,2,1,3,3,3,3,2,2,2,2,4,2,2,3,2,3,3,2,3
P03,HCA Max (50M - RLHC),4,3,4,3,3,3,1,1,1,3,4,3,4,3,4,1,2,3,3,3,3,3,3,2,2,3,4,3,2,3,3,3,3
P04,PPO Baseline (50M),2,2,3,3,3,3,1,2,3,3,2,4,3,3,3,3,3,3,2,2,2,2,4,1,3,1,2,3,2,2,2,3,2
P04,HCA Max (50M - RLHC),4,3,3,4,3,2,1,1,2,2,3,3,4,3,3,1,2,4,3,3,3,4,4,2,3,4,3,3,3,3,3,1,3
P05,PPO Baseline (50M),2,2,3,2,2,2,3,1,3,3,1,3,2,2,3,2,3,3,3,2,4,1,2,3,2,2,2,2,2,3,2,2,3
P05,HCA Max (50M - RLHC),4,3,3,3,3,4,1,1,1,3,3,3,3,3,3,2,3,4,3,4,3,3,3,3,3,3,4,2,2,4,4,4,4
P06,PPO Baseline (50M),2,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,2,2,3,3,2
P06,HCA Max (50M - RLHC),4,3,3,4,3,3,1,1,1,4,4,4,3,4,3,2,2,3,3,2,3,2,3,3,4,4,3,3,3,2,4,4,3
P07,PPO Baseline (50M),1,4,2,3,1,2,2,2,2,3,1,2,2,3,3,1,2,3,3,2,4,2,3,2,4,3,2,3,3,3,2,3,3
P07,HCA Max (50M - RLHC),3,2,2,3,4,4,1,2,0,2,3,3,3,2,3,0,3,3,3,3,2,2,4,2,3,3,3,3,2,3,2,4,3
P08,PPO Baseline (50M),2,3,2,2,3,3,2,2,2,1,1,3,3,2,3,3,4,3,2,2,2,2,2,1,2,1,4,3,2,3,2,1,3
P08,HCA Max (50M - RLHC),4,2,3,3,2,4,2,0,1,2,3,3,3,3,2,1,3,3,3,3,3,3,3,3,4,2,3,3,3,3,2,2,3
P09,PPO Baseline (50M),3,2,3,1,2,2,2,2,2,2,3,2,3,2,3,3,1,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2
P09,HCA Max (50M - RLHC),4,3,3,4,3,2,0,0,1,3,4,3,3,4,2,1,3,2,4,4,3,3,4,3,3,3,3,4,2,3,3,3,3
P10,PPO Baseline (50M),3,2,2,2,2,3,3,2,3,4,2,4,2,2,2,3,3,2,3,2,4,2,2,3,3,2,2,3,4,3,3,2,1
P10,HCA Max (50M - RLHC),3,3,4,3,4,3,1,0,0,3,3,2,2,3,4,1,2,3,3,2,3,2,4,4,4,3,3,4,3,3,3,3,3
P11,PPO Baseline (50M),2,2,2,2,2,2,2,4,0,3,3,1,2,2,2,2,2,4,3,3,3,1,2,3,1,3,2,2,3,3,2,3,1
P11,HCA Max (50M - RLHC),4,3,3,4,2,4,1,1,2,2,2,2,3,3,4,0,4,3,3,3,3,2,4,3,3,3,3,3,1,2,4,3,3
